ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
ARP,small_airport,Aragip Airport,"149.4833333, -9.883333333",1750,OC,PG,PG-MBA,,,ARP,AGP
ARX,closed,Asbury Park Neptune Air Terminal,"-74.09083333, 40.21930556",95,NA,US,US-NJ,Asbury Park,,ARX,
AS-TAV,small_airport,Tau Airport,"-169.5110016, -14.22920036",185,OC,AS,AS-U-A,Tau Village,,TAV,HI36
AS89,heliport,Public Safety Heliport,"-112.1829987, 33.5381012",3995,NA,US,US-AZ,Glendale,AS89,,AS89
ASZ,small_airport,Asirim Airport,"150.3686111, -6.009722222",1050,OC,PG,PG-WBK,,,ASZ,ASM
AT-0001,heliport,Pöchlarn-Wörth Heliport,"15.25542355, 48.21473694",709,EU,AT,AT-3,Pöchlarn-Wörth,,,
AT-0002,seaplane_base,Scalaria Airchallenge Water Landing Area,"13.4438324, 47.73470543",,EU,AT,AT-4,Lake Wolfgang,,,
AT-0003,heliport,Bad Tatzmannsdorf PVA Hospital Helipad,"16.22207, 47.33072",1247,EU,AT,AT-1,Bad Tatzmannsdorf,,,
AT-0004,heliport,Güssing Hospital Helipad,"16.3217, 47.04977",731,EU,AT,AT-1,Güssing,,,
ATN,small_airport,Namatanai Airport,"152.438, -3.6695",150,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI
ATP,small_airport,Aitape Airport,"142.3468056, -3.143611111",10,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE
ATUA,small_airport,Utai Airstrip,"141.5868, -3.386",707,OC,PG,PG-SAN,Utai,ATUA,,UTAI
AU-AGW,small_airport,Agnew Airport,"142.1490021, -12.14560032",,OC,AU,AU-QLD,Agnew,,AGW,
AU-AYD,small_airport,Alroy Downs Airport,"136.0789948, -19.29080009",,OC,AU,AU-NT,Alroy Downs,,AYD,
AU-BCK,closed,[Duplicate] Bolwarra Airport,"144.1690063, -17.38829994",,OC,AU,AU-QLD,Bolwarra,,BCK,
AU-BFC,closed,[Duplicate] Bloomfield Airport,"145.3300018, -15.87360001",66,OC,AU,AU-QLD,Bloomfield,,BFC,
AU-BVW,closed,[Duplicate] Batavia Downs Airport,"142.6750031, -12.65919971",,OC,AU,AU-QLD,Batavia Downs,,BVW,
AU-BYX,small_airport,Baniyala Airport,"136.227005, -13.19810009",20,OC,AU,AU-NT,Baniyala,,BYX,
AU-COB,small_airport,Coolibah Airport,"130.9620056, -15.54829979",,OC,AU,AU-NT,Coolibah,,COB,
AU-CQP,closed,[Duplicate] Cape Flattery Airport,"145.3110046, -14.97099972",,OC,AU,AU-QLD,Cape Flattery,,CQP,
AU-CRJ,small_airport,Coorabie Airport,"132.2960052, -31.89439964",,OC,AU,AU-SA,Coorabie,,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,"128.5339966, -15.50189972",,OC,AU,AU-WA,Carlton Hill,,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,"135.9160004, -17.94799995",,OC,AU,AU-NT,Cresswell Downs,,CSD,
AU-CTR,closed,[Duplicate] Cattle Creek Airport,"131.548996, -17.60700035",,OC,AU,AU-NT,Cattle Creek,,CTR,
AU-DYM,small_airport,Diamantina Lakes Airport,"141.1450043, -23.76169968",,OC,AU,AU-QLD,Diamantina Lakes,,DYM,
AU-EDD,closed,[Duplicate] Erldunda Airport,"133.2539978, -25.2057991",,OC,AU,AU-NT,Erldunda,,EDD,
AU-EKD,closed,[Duplicate] Elkedra Airport,"135.4440002, -21.17250061",,OC,AU,AU-NT,Elkedra,YELK,EKD,
AU-HAT,closed,[Duplicate] Heathlands Airport,"142.5769959, -11.73690033",,OC,AU,AU-QLD,Heathlands,,HAT,
AU-HIG,closed,[Duplicate] Highbury Airport,"143.1459961, -16.42440033",,OC,AU,AU-QLD,Highbury,,HIG,
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,"148.8809967, -20.05999947",,OC,AU,AU-QLD,Hayman Island,,HIS,
AU-HLV,small_airport,Helenvale Airport,"145.2149963, -15.6857996",,OC,AU,AU-QLD,Helenvale,,HLV,
AU-KBD,small_airport,Kimberley Downs Airport,"124.3550034, -17.39780045",,OC,AU,AU-WA,Kimberley Downs,,KBD,
AU-KGR,small_airport,Kulgera Airport,"133.2920074, -25.84280014",,OC,AU,AU-NT,Kulgera,,KGR,
AU-KOH,closed,[Duplicate] Koolatah Airport,"142.4389954, -15.88860035",,OC,AU,AU-QLD,Koolatah,,KOH,
AU-KYF,closed,[Duplicate] Yeelirrie Airport,"120.0960007, -27.27689934",,OC,AU,AU-WA,Yeelirrie,,KYF,
AU-LIB,small_airport,Limbunya Airport,"129.8820038, -17.23559952",,OC,AU,AU-NT,Limbunya,,LIB,
AU-MNW,closed,[Duplicate] Macdonald Downs Airport,"135.1990051, -22.44400024",,OC,AU,AU-NT,Macdonald Downs,,MNW,
AU-MUP,closed,[Duplicate] Mulga Park Airport,"131.6499939, -25.86000061",,OC,AU,AU-NT,Mulga Park,,MUP,
AU-MWY,small_airport,Miranda Downs Airport,"141.8860016, -17.32889938",,OC,AU,AU-QLD,Miranda Downs,,MWY,
AU-MYO,small_airport,Camballin Airport,"124.2720032, -18.12470055",,OC,AU,AU-WA,Myroodah,,MYO,
AU-NKB,closed,[Duplicate] Noonkanbah Airport,"124.8519974, -18.49469948",,OC,AU,AU-WA,Noonkanbah,,NKB,
AU-OKB,small_airport,Orchid Beach Airport,"153.3150024, -24.95940018",,OC,AU,AU-QLD,Orchid Beach,,OKB,
AU-PEP,small_airport,Peppimenarti Airport,"130.0910034, -14.14420033",83,OC,AU,AU-NT,Peppimenarti,,PEP,YPEP
AU-RDA,small_airport,Rockhampton Downs Airport,"135.201004, -18.95330048",,OC,AU,AU-NT,Rockhampton Downs,,RDA,
AU-SSK,small_airport,Sturt Creek Airport,"128.173996, -19.16640091",,OC,AU,AU-WA,Sturt Creek,,SSK,
AU-SWB,small_airport,Shaw River Airport,"119.3619995, -21.51029968",,OC,AU,AU-WA,Shaw River,,SWB,
AU-TPR,small_airport,Tom Price Airport,"117.8690033, -22.74600029",2300,OC,AU,AU-WA,Tom Price,YTMP,TPR,
AU-TWP,small_airport,Torwood Airport,"143.75, -17.36330032",,OC,AU,AU-QLD,Torwood,,TWP,
AU-WRW,closed,[Duplicate] Warrawagine Airport,"120.7020035, -20.84420013",,OC,AU,AU-WA,Warrawagine,,WRW,
AU-WSY,closed,[Duplicate] Whitsunday Airstrip,"148.755, -20.27611",60,OC,AU,AU-QLD,Airlie Beach,,WSY,
AU-ZVG,small_airport,Springvale Airport,"127.6699982, -17.78689957",,OC,AU,AU-WA,Springvale,,ZVG,
AUI,small_airport,Aua Island Airport,"143.0647222, -1.460555556",4,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA
AUJ,small_airport,Ambunti Airport,"142.8231667, -4.215666667",50,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI
AUP,small_airport,Agaun Airport,"149.3856667, -9.930833333",3200,OC,PG,PG-MBA,,AYAG,AUP,AUN
AUS,closed,Austin Robert Mueller Municipal,"-97.69978523, 30.29872235",,NA,US,US-TX,,KAUS,AUS,
AUV,small_airport,Aumo Airport,"148.4452778, -5.731111111",450,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO
AWE,small_airport,Alowe Airport,"9.450277778, -0.538055556",600,AF,GA,GA-3,Wonga Wongue Reserve,,AWE,
AWR,closed,Awar Airport,"144.853, -4.124",35,OC,PG,PG-MPM,Awar,,AWR,
AYAQ,small_airport,Kompiam Airport,"143.9247222, -5.381666667",5100,OC,PG,PG-EPW,,AYAQ,KPM,KOM
AYAU,small_airport,Arou Airstrip,"142.5137, -5.4951",4830,OC,PG,PG-HE,Arou,AYAU,,AROU
AYBB,small_airport,Bak Airstrip,"142.097, -5.2685",5440,OC,PG,PG-SAN,Bak,AYBB,,BAK
AYBK,medium_airport,Buka Airport,"154.6730042, -5.422319889",11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,
AYBR,small_airport,Biaru Airport,"146.7594, -7.6693",4900,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU
AYBS,small_airport,Begesin Airstrip,"145.4472, -5.3889",980,OC,PG,PG-MPM,Begesin,AYBS,,BGI
AYBT,small_airport,Batri Airstrip,"143.9441, -6.5522",4510,OC,PG,PG-SHM,Batri,AYBT,,BTR
AYBW,small_airport,Blackwara Airport,"141.091971, -2.618211",58,OC,PG,PG-SAN,,AYBW,,
AYBX,small_airport,Wowobo Airstrip,"144.5477, -7.3405",74,OC,PG,PG-GPK,Wowobo,AYBX,,WWB
AYBY,small_airport,Wuyabo Airstrip,"145.8732, -6.8378",6400,OC,PG,PG-EHG,Wuyabo,AYBY,,WUO
AYCH,medium_airport,Chimbu Airport,"144.970993, -6.024290085",4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,
AYDD,small_airport,Dobu Airstrip,"144.6383, -6.6305",3115,OC,PG,PG-CPK,Dobu,AYDD,,DOBU
AYDL,small_airport,Kondobol Airport,"142.5049, -8.5336",132,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB
AYDN,small_airport,Dinangat Airport,"146.6772, -6.1546",5309,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN
AYDO,small_airport,Doini Airport,"150.7218, -10.7009",31,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI
AYDP,small_airport,Tsendiap Airstrip,"144.4462, -5.3599",1565,OC,PG,PG-JI,Tsendiap,AYDP,,TNP
AYDQ,small_airport,Dimisisi Airstrip,"142.2162, -8.6298",166,OC,PG,PG-WPD,Dimisisi,AYDQ,,DIM
AYDS,small_airport,Dusin Airport,"144.411965, -5.184135",6300,OC,PG,PG-MPM,Dusin,AYDS,,DUS
AYDU,medium_airport,Daru Airport,"143.2079926, -9.086759567",20,OC,PG,PG-WPD,Daru,AYDU,DAU,
AYDW,small_airport,Dewara Airstrip,"142.4475, -8.3802",25,OC,PG,PG-WPD,Dewara,AYDW,,DWR
AYDY,small_airport,Sindeni Airstrip,"145.7965, -7.0077",5710,OC,PG,PG-EHG,Sindeni,AYDY,,SDI
AYEB,small_airport,Embessa Airport,"148.7628, -9.447",131,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB
AYED,small_airport,Edwaki Airport,"141.792234, -3.883986",190,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK
AYEG,small_airport,Mengina Airstrip,"144.986, -6.4836",4224,OC,PG,PG-CPK,Mengina,AYEG,,MEN
AYEI,small_airport,Milei Airstrip,"147.602, -9.0794",2160,OC,PG,PG-CPM,Milei,AYEI,,MIL
AYEK,small_airport,Membok Airstrip,"141.019, -6.4744",54,OC,PG,PG-WPD,Membok,AYEK,,MBK
AYEL,small_airport,Eliptamin Airport,"141.6779, -5.0412",4825,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP
AYEM,small_airport,Eleme Airstrip,"143.9103, -4.8141",233,OC,PG,PG-ESW,Eleme,AYEM,,ELM
AYEN,small_airport,Engati Airstrip,"146.1053, -6.9179",3715,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT
AYEO,small_airport,Emo River Airstrip,"148.0415, -9.1234",2240,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO
AYER,small_airport,Erume Airport,"146.9747, -8.2538",6690,OC,PG,PG-CPM,Erume,AYER,ERU,EME
AYEU,small_airport,Eloaua Airstrip,"149.6318, -1.5601",25,OC,PG,PG-NIK,Eloaua Island,AYEU,,ELO
AYEY,small_airport,Mirsey Airstrip,"142.6609, -4.0621",107,OC,PG,PG-ESW,Mirsey,AYEY,,MSY
AYFE,small_airport,Feramin Airport,"141.6988, -5.208",4655,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN
AYFK,small_airport,Foroko Airstrip,"144.8944, -5.3283",412,OC,PG,PG-MPM,Foroko,AYFK,,FRO
AYFO,small_airport,Fogomaiu Airstrip,"143.0794, -6.5096",737,OC,PG,PG-SHM,Fogomaiu,AYFO,,FGM
AYFR,small_airport,Frieda River Airport,"141.960138, -4.610468",217,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR
AYFS,small_airport,Fas Airstrip,"141.472, -3.1983",1219,OC,PG,PG-SAN,Fugari,AYFS,,FAS
AYFU,small_airport,Fuma Airport,"142.4408, -6.3933",466,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA
AYFW,small_airport,Kwieftim Airstrip,"141.7674, -3.6005",515,OC,PG,PG-SAN,Kwieftim,AYFW,,KWM
AYGA,medium_airport,Goroka Airport,"145.3919983, -6.081689835",5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,
AYGD,small_airport,Gimi Airstrip,"145.4003, -6.6482",5096,OC,PG,PG-EHG,Amusa,AYGD,,GIMI
AYGE,small_airport,Geigorobi Airstrip,"143.3056, -4.1055",74,OC,PG,PG-ESW,Geigorobi,AYGE,,GEI
AYGF,small_airport,Guari Airport,"146.8722, -8.1286",6450,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI
AYGG,small_airport,Garasa Airport,"147.213461, -7.980713",2539,OC,PG,PG-MPL,Au,AYGG,GRL,GSA
AYGH,small_airport,Guhu Airstrip,"146.1116, -5.6957",3,OC,PG,PG-MPM,Guhu,AYGH,,GUHU
AYGM,small_airport,Gema Airstrip,"145.7756, -6.8032",1675,OC,PG,PG-EHG,Gema,AYGM,,GEMA
AYGN,medium_airport,Gurney Airport,"150.3339996, -10.3114996",88,OC,PG,PG-MBA,Gurney,AYGN,GUR,
AYGO,small_airport,Gokto Airstrip,"144.49, -4.9136",259,OC,PG,PG-MPM,Gokto,AYGO,,GTO
AYGP,small_airport,Gusap Airport,"145.959047, -6.053196",1504,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP
AYGQ,small_airport,Gawa Airstrip,"142.233, -5.259",6500,OC,PG,PG-SAN,Gawa,AYGQ,,GAWA
AYGR,medium_airport,Girua Airport,"148.3090057, -8.80453968",311,OC,PG,PG-NPP,Popondetta,AYGR,PNP,
AYGS,small_airport,Gasuke Airport,"141.7393, -6.1028",157,OC,PG,PG-WPD,Gasuke,AYGS,GBC,GSK
AYGW,small_airport,Guwasa Airport,"145.083968, -6.465838",4800,OC,PG,PG-EHG,Guwasa,AYGW,,
AYGY,small_airport,Guavi Airstrip,"142.7537, -6.87",303,OC,PG,PG-WPD,Guavi,AYGY,,
AYHA,small_airport,Haia Airport,"144.997398, -6.707421",2434,OC,PG,PG-CPK,,AYHA,,HAIA
AYHB,small_airport,Habi Airport,"142.4893, -6.32",993,OC,PG,PG-WPD,Habi,AYHB,HBD,HABI
AYHE,small_airport,Heiweni Airport,"146.4276, -7.4223",3480,OC,PG,PG-MPL,Heiweni,AYHE,HNI,HWI
AYHH,small_airport,Honinabi Airport,"142.1771, -16.2457",452,OC,PG,PG-WPD,Honinabi,AYHH,HNN,HBI
AYHJ,small_airport,Hewa Airstrip,"142.9595, -5.1914",5000,OC,PG,PG-EPW,Hewa,AYHJ,,HEWA
AYHK,medium_airport,Kimbe Airport,"150.4049988, -5.462170124",66,OC,PG,PG-WBK,Hoskins,AYHK,HKN,
AYHL,small_airport,Hesalibi Airstrip,"142.3502, -6.6",305,OC,PG,PG-WPD,Hesalibi,AYHL,,HLB
AYHN,small_airport,Habina Airstrip,"146, -6.6671",6200,OC,PG,PG-EHG,Habina,AYHN,,HAA
AYHO,small_airport,Haivaro Airport,"143.059, -6.9406",180,OC,PG,PG-GPK,Haivaro,AYHO,HIT,HWO
AYHQ,small_airport,Hauna Airstrip,"142.2305, -4.2994",73,OC,PG,PG-ESW,Hauna,AYHQ,,HNA
AYHT,small_airport,Hotmin Airstrip,"141.5742, -4.5845",196,OC,PG,PG-ESW,Hotmin Mission,AYHT,,HOT
AYHW,small_airport,Haewenai Airstrip,"141.3205, -5.7219",220,OC,PG,PG-WPD,Haewenai,AYHW,,
AYHX,small_airport,Herowena Airstrip,"145.1972, -6.6229",4695,OC,PG,PG-EHG,Herowana,AYHX,,HRW
AYHY,small_airport,Huya Airstrip,"142.7061, -6.2734",2611,OC,PG,PG-SHM,Huya,AYHY,,HUYA
AYIB,small_airport,Ibil Airstrip,"141.0316, -4.6828",870,OC,PG,PG-SAN,Ibil,AYIB,,IBIL
AYII,small_airport,Imane Airport,"146.1072, -6.7524",3860,OC,PG,PG-MPL,Imane,AYII,IMN,IMN
AYIM,small_airport,Kungim Airport,"141.03, -5.671",349,OC,PG,PG-WPD,Kungim,AYIM,KGM,KNM
AYIN,small_airport,Busilmin Airstrip,"141.1548, -4.9166",5450,OC,PG,PG-SAN,Busilmin,AYIN,,BSM
AYIO,small_airport,Imonda Airport,"141.1573, -3.328",990,OC,PG,PG-SAN,Imonda,AYIO,IMD,IMO
AYIP,small_airport,Iropena Airstrip,"143.87084, -5.0333",5190,OC,PG,PG-ESW,Iropena,AYIP,,IRP
AYIR,small_airport,Inaru Airstrip,"142.8913, -4.6316",178,OC,PG,PG-ESW,Inaru,AYIR,,INR
AYIS,small_airport,Isan Airstrip,"146.61975, -5.9781",6955,OC,PG,PG-MPL,Isan,AYIS,,ISAN
AYIT,small_airport,Iteri Airstrip,"141.5234, -4.2418",242,OC,PG,PG-ESW,Iteri,AYIT,,ITR
AYIU,small_airport,Ialibu Airport,"143.9944, -6.2782",6736,OC,PG,PG-SHM,Ialibu,AYIU,IAL,IBU
AYJE,small_airport,Yomneri Airstrip,"144.6007, -5.237",6100,OC,PG,PG-MPM,Yomneri,AYJE,,
AYJO,small_airport,Yongai Airport,"147.4603, -8.5289",6500,OC,PG,PG-CPM,Yongai,AYJO,KGH,YON
AYKA,small_airport,Losuia Airport,"151.0809937, -8.505820274",27,OC,PG,PG-MBA,Losuia,AYKA,LSA,
AYKG,small_airport,Kopiago Airport,"142.4977, -5.3883",4445,OC,PG,PG-HE,Kopiago,AYKG,KPA,KGO
AYKI,small_airport,Kiunga Airport,"141.2819977, -6.125710011",88,OC,PG,PG-WPD,Kiunga,AYKI,UNG,
AYKJ,small_airport,Kanainj Airport,"144.7072, -5.2903",4064,OC,PG,PG-MPM,Kanainj,AYKJ,KNE,KNJ
AYKK,small_airport,Kikori Airport,"144.2500763, -7.424379826",50,OC,PG,PG-GPK,Kikori,AYKK,KRI,
AYKL,small_airport,Kafle Airstrip,"142.59, -3.75",850,OC,PG,PG-SAN,Kafle,AYKL,,KFL
AYKM,medium_airport,Kerema Airport,"145.7709961, -7.963610172",10,OC,PG,PG-GPK,Kerema,AYKM,KMA,
AYKN,small_airport,Kubuna Airstrip,"146.7566, -8.6917",200,OC,PG,PG-CPM,Kubuna Mission,AYKN,,
AYKR,small_airport,Kar Kar Airport,"145.9404, -4.557",130,OC,PG,PG-MPM,Kar Kar Island,AYKR,KRX,KKR
AYKT,closed,Kieta Airport,"155.7281389, -6.305416667",20,OC,PG,PG-NSB,Kieta,,KIE,KIA
AYKU,small_airport,Kuri Airport,"143.276111, -7.135083",35,OC,PG,PG-GPK,Kuri,AYKU,KUQ,KURI
AYKV,medium_airport,Kavieng Airport,"150.8079987, -2.579400063",7,OC,PG,PG-NIK,Kavieng,AYKV,KVG,
AYKY,small_airport,Londolovit Airport,"152.6289978, -3.043610096",167,OC,PG,PG-NIK,Londolovit,AYKY,LNV,
AYKZ,small_airport,Kairiru Airstrip,"143.5546, -3.3687",60,OC,PG,PG-ESW,Kairiru Island,AYKZ,,KAI
AYLA,closed,Lae Airfield,"146.996368, -6.731666",50,OC,PG,PG-MPL,Lae,AYLA,,
AYLB,small_airport,Lab Lab Airport,"148.0566, -5.7204",160,OC,PG,PG-MPL,Lab Lab Mission,AYLB,LAB,LAB
AYLH,small_airport,Klauhau Airstrip,"142.2495, -4.1305",130,OC,PG,PG-ESW,Klauhau,AYLH,,
AYLO,small_airport,Lowai Airport,"146.6458, -6.3344",2900,OC,PG,PG-MPL,Lowai,AYLO,LWI,LOW
AYLQ,small_airport,Lagoon Airstrip,"143.1317, -8.8186",100,OC,PG,PG-WPD,Lagoon,AYLQ,,LGN
AYLZ,small_airport,Slai Airstrip,"143.1831, -4.0322",77,OC,PG,PG-ESW,Slai,AYLZ,,SLAI
AYMB,small_airport,Morobe Airport,"147.59, -7.74",8,OC,PG,PG-MPL,Morobe,AYMB,OBM,MBE
AYMD,medium_airport,Madang Airport,"145.7890015, -5.207079887",20,OC,PG,PG-MPM,Madang,AYMD,MAG,
AYMH,medium_airport,Mount Hagen Kagamuga Airport,"144.2960052, -5.826789856",5388,OC,PG,PG-WHM,Mount Hagen,AYMH,HGU,
AYMK,small_airport,Mok Airport,"149.056583, -5.730238",1050,OC,PG,PG-WBK,Mok,AYMK,,MOK
AYML,small_airport,Mougulu Airport,"142.420775, -6.280859",825,OC,PG,PG-WPD,Mougulu,AYML,GUV,MGU
AYMN,medium_airport,Mendi Airport,"143.6569977, -6.147739887",5680,OC,PG,PG-SHM,,AYMN,MDU,
AYMO,medium_airport,Momote Airport,"147.423996, -2.061889887",12,OC,PG,PG-MRL,,AYMO,MAS,
AYMR,small_airport,Moro Airport,"143.2380066, -6.363329887",2740,OC,PG,PG-SHM,Moro,AYMR,MXH,
AYMS,small_airport,Misima Island Airport,"152.8379974, -10.6892004",26,OC,PG,PG-MBA,Misima Island,AYMS,MIS,
AYMW,small_airport,Marawaka Airport,"145.8849, -6.9736",6050,OC,PG,PG-EHG,Marawaka,AYMW,MWG,MWK
AYMY,small_airport,Smok Airstrip,"141.2461, -3.3158",729,OC,PG,PG-SAN,Smok,AYMY,,SMOK
AYNE,small_airport,Negarbo(Negabo) Airport,"144.703058, -6.567778",4500,OC,PG,PG-CPK,Negarbo,AYNE,GBF,NBO
AYNG,small_airport,Manguna Airport,"151.792333, -5.577778",187,OC,PG,PG-EBR,Manguna,AYNG,MFO,MGA
AYNM,small_airport,Kasonombe Airport,"146.9859, -6.3819",5800,OC,PG,PG-MPL,Kasonombe,AYNM,KSB,KNB
AYNO,small_airport,Nomane Airport,"145.070667, -6.32183",6032,OC,PG,PG-CPK,Namane,AYNO,NMN,NOM
AYNT,small_airport,Kantobo Airstrip,"143.5636, -6.7227",1385,OC,PG,PG-SHM,Kantobo,AYNT,,KNO
AYNY,small_airport,Nambaiyufa Airport,"145.2424, -6.2412",5550,OC,PG,PG-CPK,Nambaiyufa,AYNY,NBA,NBF
AYNZ,medium_airport,Lae Nadzab Airport,"146.7259979, -6.569829941",239,OC,PG,PG-MPL,Nadzab,AYNZ,LAE,
AYOA,small_airport,Kwomtari Airstrip,"141.3614, -3.598",366,OC,PG,PG-SAN,Kwomtari,AYOA,,KWO
AYOD,small_airport,Obura Airstrip,"145.9728, -6.5507",5600,OC,PG,PG-EHG,Obura,AYOD,,OBU
AYOE,small_airport,Konge Airport,"147.2152, -6.2239",5900,OC,PG,PG-MPL,Konge,AYOE,KGB,KGE
AYOH,small_airport,Okisai Airstrip,"141.9006, -4.7065",310,OC,PG,PG-SAN,Okisai,AYOH,,OKS
AYOJ,small_airport,Oksapmin Airport,"142.2259, -5.2261",5140,OC,PG,PG-SAN,Oksapmin,AYOJ,OKP,OKN
AYOK,small_airport,Komako Airport,"145.8827, -7.3984",3960,OC,PG,PG-GPK,Komako,AYOK,HOC,KMA
AYOQ,small_airport,Komaio Airport,"143.5952, -7.2714",28,OC,PG,PG-GPK,Komaio,AYOQ,KCJ,KOI
AYOS,small_airport,Kosimbi Airstrip,"143.1767, -3.9522",149,OC,PG,PG-ESW,Kosimbi Mission,AYOS,,
AYOU,small_airport,Kombaku Airstrip,"144.6355, -5.3817",5400,OC,PG,PG-MPM,Kombaku,AYOU,,KBK
AYOW,small_airport,Koroba Airport,"142.7441, -5.6952",5638,OC,PG,PG-HE,Koroba,AYOW,KDE,
AYOX,small_airport,Moi Airstrip,"141.2478, -4.1615",240,OC,PG,PG-SAN,Moi,AYOX,,MOI
AYOZ,small_airport,Kora Airstrip,"145.0931, -6.4304",5745,OC,PG,PG-EHG,Kora,AYOZ,,KORA
AYPA,small_airport,Somokopa Airstrip,"142.514, -7.0838",489,OC,PG,PG-WPD,Somokopa,AYPA,,
AYPC,small_airport,Pangoa Airport,"141.5605, -7.0226",60,OC,PG,PG-WPD,Pangoa,AYPC,PGB,PGA
AYPI,small_airport,Kapi Airstrip,"144.6839, -6.371",3408,OC,PG,PG-CPK,Kapi,AYPI,,KAPI
AYPO,small_airport,Mapoda Airport,"143.1694, -7.979",45,OC,PG,PG-WPD,Mapoda,AYPO,MPF,MPO
AYPQ,small_airport,Pumani Airport,"149.4766, -9.7469",427,OC,PG,PG-MBA,Pumani,AYPQ,PMN,PMN
AYPU,small_airport,Puri Airport,"143.9872222, -6.475161111",6050,OC,PG,PG-SHM,Puri,AYPU,,
AYPW,small_airport,Panakawa Airport,"143.1247222, -7.672055556",42,OC,PG,PG-WPD,,AYPW,,
AYPY,large_airport,Port Moresby Jacksons International Airport,"147.2200012, -9.443380356",146,OC,PG,PG-NCD,Port Moresby,AYPY,POM,
AYQB,small_airport,Simbari Airstrip,"145.6448, -6.9623",3560,OC,PG,PG-EHG,Simbari,AYQB,,SBR
AYQM,small_airport,Simogu Airstrip,"145.7134, -6.8008",4990,OC,PG,PG-EHG,Simogu,AYQM,,SMG
AYQO,small_airport,Sopu Airport,"147.1659, -8.3038",6580,OC,PG,PG-CPM,Sopu,AYQO,SPH,SOPU
AYQS,small_airport,Sialum Airport,"147.5955, -6.0908",170,OC,PG,PG-MPL,Sialum,AYQS,SXA,SLU
AYQU,small_airport,Tsumba Airstrip,"144.6082, -4.6581",89,OC,PG,PG-MPM,Tsumba Mission,AYQU,,TSU
AYQV,small_airport,Sinow Airstrip,"141.5537, -3.9925",183,OC,PG,PG-SAN,Sinow,AYQV,,
AYQW,small_airport,Sumwari Airstrip,"142.3686, -4.7508",465,OC,PG,PG-ESW,Sumwari,AYQW,,SMR
AYRB,closed,Lakunai Airfield,"152.185, -4.223",30,OC,PG,PG-EBR,Rabaul,AYRB,,
AYRG,small_airport,Rumginae Airport,"141.2716667, -5.897222222",160,OC,PG,PG-WPD,,AYRG,RMN,RMG
AYRI,small_airport,Karimui Airport,"144.823, -6.4921",3640,OC,PG,PG-CPK,Karimui,AYRI,KMR,KRI
AYRL,small_airport,Maralina Airstrip,"146.3698, -6.9015",431,OC,PG,PG-MPL,Maralina,AYRL,,
AYRM,small_airport,Maramuni Airport,"143.4829, -5.13",5160,OC,PG,PG-EPW,Maramuni,AYRM,MWI,MAR
AYRN,small_airport,Norambi Airstrip.,"145.6731, -6.9125",5100,OC,PG,PG-EHG,Norambi,AYRN,,NMB
AYRR,small_airport,Tiri Airstrip,"144.1842, -6.6815",4545,OC,PG,PG-SHM,Tiri,AYRR,,TIRI
AYRT,small_airport,Kirinbit Airstrip,"143.1512, -4.2839",60,OC,PG,PG-ESW,Kirinbit,AYRT,,KBT
AYRV,small_airport,May River Airstrip,"141.785, -4.3615",107,OC,PG,PG-ESW,May River,AYRV,MRH,MRV
AYRX,heliport,Mount Boregoro Helicopter Landing  Site,"148.1069, -9.8944",898,OC,PG,PG-CPM,Mount Boregoro,AYRX,,
AYSA,small_airport,Suabi Airport,"142.2783333, -6.104444444",465,OC,PG,PG-WPD,,AYSA,SBE,SUA
AYSB,small_airport,Sirebi Airstrip,"144.2352, -7.2196",115,OC,PG,PG-GPK,Sirebi,AYSB,,
AYSE,small_airport,Simberi Airport,"151.9977778, -2.662222222",10,OC,PG,PG-NIK,Simberi Island,AYSE,NIS,SBI
AYSG,small_airport,Sila Airport,"148.38925, -9.073555556",2230,OC,PG,PG-NPP,Sila Mission,AYSG,SIL,SILA
AYSH,small_airport,Sabah Airport,"155.0489, -5.5765",10,OC,PG,PG-NSB,Sabah,AYSH,SBV,SAB
